,score,sentiment
2017-08-12 12:59:25,9,0.296
2017-08-12 13:14:05,9,-0.4019
2017-08-12 13:14:16,9,0.296
2017-08-12 13:15:00,10,0.1935
2017-08-12 13:15:01,10,0.6908
2017-08-12 13:15:58,7,0.7758
2017-08-12 13:20:25,9,0.6854
2017-08-12 13:22:18,9,0.0
2017-08-12 13:23:09,7,0.743
2017-08-12 13:24:12,8,-0.34
2017-08-12 13:26:29,8,-0.7847
2017-08-12 13:28:28,9,-0.5647
2017-08-12 13:29:03,10,-0.4404
2017-08-12 13:31:20,9,-0.8946
2017-08-12 13:48:10,8,0.0
2017-08-12 13:50:25,8,-0.5859
2017-08-12 13:57:34,7,0.0
2017-08-12 13:58:44,9,0.0772
2017-08-12 13:59:38,8,-0.0516
2017-08-12 13:59:51,9,0.0
2017-08-12 14:02:47,9,0.0
2017-08-12 14:08:36,10,0.0
2017-08-12 14:15:24,10,0.802
2017-08-12 14:17:30,11,0.8388
2017-08-12 14:23:24,9,0.1779
2017-08-12 14:23:29,9,0.0
2017-08-12 14:25:01,8,-0.4257
2017-08-12 14:25:46,9,0.0
2017-08-12 14:26:49,9,0.4767
2017-08-12 14:27:46,8,0.1027
2017-08-12 14:28:09,10,0.25
2017-08-12 14:28:57,8,0.3078
2017-08-12 14:27:11,17,0.7239
2017-08-12 13:25:13,16,0.774
2017-08-12 12:22:32,9,0.0
2017-08-12 12:43:42,8,-0.0258
2017-08-12 12:43:54,10,0.5267
2017-08-12 12:52:05,7,-0.5423
2017-08-12 12:52:22,9,0.4939
2017-08-12 12:54:29,9,0.6447
2017-08-12 12:55:39,7,0.2263
2017-08-12 13:01:53,8,0.0772
2017-08-12 13:07:46,7,-0.5423
2017-08-12 13:10:24,8,0.3818
2017-08-12 13:12:16,8,0.0
2017-08-12 13:12:48,9,-0.197
2017-08-12 13:13:07,7,-0.6808
2017-08-12 13:17:46,8,0.4215
2017-08-12 13:18:08,7,-0.6597
2017-08-12 13:19:35,8,-0.296
2017-08-12 13:20:48,7,-0.25
2017-08-12 13:38:16,8,-0.296
2017-08-12 13:47:17,7,0.4588
2017-08-12 13:51:21,8,0.0
2017-08-12 13:52:09,9,0.0
2017-08-12 14:00:31,8,0.5106
2017-08-12 14:03:05,8,0.6808
2017-08-12 14:03:57,9,-0.2617
2017-08-12 14:04:16,10,0.0
2017-08-12 14:06:14,8,0.3612
2017-08-12 14:06:52,8,-0.1531
2017-08-12 14:14:19,6,0.5574
2017-08-12 14:17:29,10,0.2342
2017-08-12 14:18:50,8,0.2023
2017-08-12 14:23:55,9,0.0
2017-08-12 14:27:30,8,-0.0859
2017-08-12 14:29:11,9,0.3147
2017-08-12 14:30:27,8,0.0
2017-08-12 14:31:56,8,-0.8729
2017-08-12 14:25:25,14,0.5994
2017-08-12 12:35:05,7,0.6249
2017-08-12 12:38:31,6,-0.5423
2017-08-12 12:38:40,9,0.0
2017-08-12 12:39:06,8,-0.3182
2017-08-12 12:41:09,7,0.6249
2017-08-12 12:41:27,6,0.0
2017-08-12 12:42:54,9,0.0
2017-08-12 12:44:38,9,0.0772
2017-08-12 12:44:51,5,-0.4767
2017-08-12 12:45:32,9,0.0
2017-08-12 12:45:52,6,0.8407
2017-08-12 12:45:54,8,0.3818
2017-08-12 12:46:29,7,-0.25
2017-08-12 12:52:03,7,0.0
2017-08-12 12:54:08,6,-0.0258
2017-08-12 12:56:34,7,0.8591
2017-08-12 12:58:32,7,0.3182
2017-08-12 13:00:10,6,0.6361
2017-08-12 13:00:45,7,0.6369
2017-08-12 13:06:04,7,-0.9252
2017-08-12 13:06:18,6,0.742
2017-08-12 13:11:55,8,-0.4767
2017-08-12 13:13:16,7,0.3818
2017-08-12 13:20:12,7,-0.4051
