,score,sentiment
2017-08-15 21:29:34,8,-0.4404
2017-08-15 21:33:20,8,0.296
2017-08-15 21:34:12,8,-0.5423
2017-08-15 21:34:49,8,0.0
2017-08-15 21:38:48,8,0.0
2017-08-15 21:39:53,8,-0.4767
2017-08-15 21:39:58,8,0.8168
2017-08-15 19:57:22,15,0.4714
2017-08-15 21:36:58,15,0.5563
2017-08-15 20:02:56,23,-0.5719
2017-08-15 20:44:53,14,0.0
2017-08-15 21:38:22,14,0.5279
2017-08-15 19:46:07,6,0.6369
2017-08-15 19:51:28,6,0.0258
2017-08-15 19:57:02,8,0.0
2017-08-15 19:57:09,8,-0.8402
2017-08-15 19:59:08,8,-0.7964
2017-08-15 20:01:45,7,-0.5267
2017-08-15 20:02:43,6,0.6249
2017-08-15 20:03:57,8,-0.4717
2017-08-15 20:04:07,7,0.5984
2017-08-15 20:06:48,6,0.9081
2017-08-15 20:07:47,7,-0.296
2017-08-15 20:08:56,6,0.4588
2017-08-15 20:09:03,7,0.0
2017-08-15 20:10:06,6,0.0
2017-08-15 20:12:04,6,0.0
2017-08-15 20:14:40,6,0.5399
2017-08-15 20:16:49,7,0.6369
2017-08-15 20:18:58,6,0.0
2017-08-15 20:19:19,7,0.3612
2017-08-15 20:20:51,7,0.0
2017-08-15 20:20:53,7,-0.0516
2017-08-15 20:21:02,7,-0.5574
2017-08-15 20:21:11,8,0.5574
2017-08-15 20:21:13,7,-0.5562
2017-08-15 20:21:20,8,0.6696
2017-08-15 20:21:28,7,0.0
2017-08-15 20:21:40,6,0.6908
2017-08-15 20:21:44,7,0.0
2017-08-15 20:22:27,7,0.0
2017-08-15 20:22:48,8,0.0
2017-08-15 20:23:03,8,0.6124
2017-08-15 20:23:20,6,0.7096
2017-08-15 20:23:25,8,0.4019
2017-08-15 20:23:58,7,0.0
2017-08-15 20:30:56,6,-0.4364
2017-08-15 20:32:22,8,0.3612
2017-08-15 20:34:01,7,0.6342
2017-08-15 20:35:59,8,-0.2481
2017-08-15 20:44:03,7,0.449
2017-08-15 20:50:20,7,0.4215
2017-08-15 20:51:05,7,-0.4215
2017-08-15 20:54:45,7,0.6249
2017-08-15 20:58:52,7,-0.296
2017-08-15 20:59:18,7,0.5927
2017-08-15 21:00:04,7,-0.4395
2017-08-15 21:01:50,7,0.7579
2017-08-15 21:02:37,8,0.5106
2017-08-15 21:03:07,7,0.0
