,score,sentiment
2017-09-19 21:35:36,7,0.9829
2017-09-19 21:35:37,10,0.4404
2017-09-19 21:37:03,8,0.4404
2017-09-19 21:37:24,10,0.3417
2017-09-19 21:39:31,9,-0.5859
2017-09-19 21:26:25,16,-0.6249
2017-09-19 21:39:02,15,-0.9799
2017-09-19 19:58:29,9,0.2846
2017-09-19 20:00:09,7,0.0
2017-09-19 20:03:55,8,0.0
2017-09-19 20:08:47,8,0.0
2017-09-19 20:15:04,8,-0.5423
2017-09-19 20:17:33,9,0.8658
2017-09-19 20:19:54,9,0.5052
2017-09-19 20:20:17,9,0.1779
2017-09-19 20:20:49,9,0.7559
2017-09-19 20:26:49,8,-0.8531
2017-09-19 20:27:18,8,0.0
2017-09-19 20:28:07,9,0.0018
2017-09-19 21:08:50,8,0.0
2017-09-19 21:08:58,8,0.4215
2017-09-19 21:09:07,7,0.6369
2017-09-19 21:09:09,9,0.4215
2017-09-19 21:10:04,7,-0.0258
2017-09-19 21:11:24,8,-0.4891
2017-09-19 21:11:55,9,0.7398
2017-09-19 21:13:23,9,0.0
2017-09-19 21:18:08,8,0.3287
2017-09-19 21:18:29,7,-0.3883
2017-09-19 21:19:51,8,-0.4215
2017-09-19 21:20:07,8,0.5095
2017-09-19 21:22:59,7,-0.8481
2017-09-19 21:22:59,9,0.0
2017-09-19 21:24:40,8,0.1027
2017-09-19 21:26:30,9,0.0
2017-09-19 21:33:55,8,0.3462
2017-09-19 21:35:03,9,0.1027
2017-09-19 21:35:19,6,-0.9613
2017-09-19 21:36:23,7,0.0
2017-09-19 21:36:34,9,-0.8546
2017-09-19 21:21:37,14,0.0
2017-09-19 21:22:50,16,0.0772
2017-09-19 21:25:26,14,0.0
2017-09-19 21:38:49,15,0.295
2017-09-19 19:56:36,21,0.5106
2017-09-19 21:24:35,13,0.3182
2017-09-19 21:31:57,14,-0.4391
2017-09-19 19:55:37,7,0.0
2017-09-19 19:57:47,6,0.9176
2017-09-19 20:08:43,8,0.6369
2017-09-19 20:09:52,6,0.4939
2017-09-19 20:15:51,8,-0.1263
2017-09-19 20:21:09,8,-0.3612
2017-09-19 20:21:17,6,0.0
2017-09-19 20:21:43,8,0.4939
2017-09-19 20:23:24,7,0.0
2017-09-19 20:24:05,6,0.0
2017-09-19 20:24:09,7,0.0
2017-09-19 20:27:18,7,-0.5423
2017-09-19 20:27:31,9,0.6249
2017-09-19 20:27:51,7,0.0
2017-09-19 20:28:14,8,0.0
2017-09-19 20:28:57,7,-0.2732
2017-09-19 20:31:34,5,-0.3182
2017-09-19 20:31:45,7,0.1531
2017-09-19 20:32:18,7,0.7351
2017-09-19 20:33:11,7,0.0
2017-09-19 20:33:17,7,0.4576
2017-09-19 20:40:23,7,0.4019
2017-09-19 20:49:22,8,-0.6679
2017-09-19 20:49:53,7,0.25
2017-09-19 20:53:15,7,-0.3612
2017-09-19 20:56:06,8,0.3724
2017-09-19 20:56:42,7,-0.5423
2017-09-19 21:09:11,7,0.0
2017-09-19 21:09:16,7,-0.5096
2017-09-19 21:11:38,7,0.4927
2017-09-19 21:12:47,8,0.3818
2017-09-19 21:13:02,8,0.4574
2017-09-19 21:15:13,8,0.4939
2017-09-19 21:15:15,8,-0.5423
2017-09-19 21:17:20,7,0.3612
2017-09-19 21:17:51,7,0.7203
2017-09-19 21:19:06,7,0.0
2017-09-19 21:20:30,7,0.3612
2017-09-19 21:20:30,8,-0.5754
2017-09-19 21:22:14,8,-0.3818
2017-09-19 21:22:25,8,0.4588
2017-09-19 21:22:36,6,0.4404
2017-09-19 21:22:41,7,0.3382
2017-09-19 21:23:00,6,0.0
2017-09-19 21:23:03,7,0.0
2017-09-19 21:23:15,7,-0.5423
2017-09-19 21:24:07,7,0.5574
2017-09-19 21:24:12,7,-0.883
2017-09-19 21:24:32,8,0.0
2017-09-19 21:25:35,7,-0.4939
2017-09-19 21:25:47,8,-0.6369
2017-09-19 21:25:57,6,-0.4927
2017-09-19 21:26:26,8,-0.6909
2017-09-19 21:31:04,7,-0.128
2017-09-19 21:32:31,6,-0.5789
2017-09-19 21:32:59,7,-0.0516
2017-09-19 21:35:07,8,-0.2732
2017-09-19 21:35:15,7,0.0
2017-09-19 21:35:52,8,0.0
2017-09-19 21:36:02,7,0.0
2017-09-19 21:36:26,7,-0.1531
2017-09-19 21:36:57,7,0.5267
2017-09-19 21:37:04,7,0.0
2017-09-19 21:37:23,8,0.0
2017-09-19 21:38:48,7,0.2081
2017-09-19 21:23:41,13,-0.4588
2017-09-19 21:24:16,12,-0.6808
2017-09-19 21:29:09,18,0.0
2017-09-19 21:34:01,32,-0.296
2017-09-19 20:51:19,18,0.0
2017-09-19 21:30:08,19,0.6621
2017-09-19 21:24:56,12,0.802
2017-09-19 21:26:24,13,0.0
2017-09-19 19:44:31,5,0.0
2017-09-19 19:53:55,6,0.0
2017-09-19 19:57:48,7,0.0
2017-09-19 19:58:37,5,-0.0772
2017-09-19 20:00:56,6,0.0
2017-09-19 20:01:19,7,0.8519
2017-09-19 20:01:20,5,-0.5096
2017-09-19 20:06:36,7,0.6486
2017-09-19 20:08:51,6,-0.5106
2017-09-19 20:09:19,5,0.0
2017-09-19 20:10:48,6,-0.0772
2017-09-19 20:10:54,6,0.6249
2017-09-19 20:11:03,7,-0.4221
2017-09-19 20:11:41,6,0.5859
2017-09-19 20:13:15,5,-0.7089
2017-09-19 20:13:30,6,-0.34
2017-09-19 20:13:45,7,0.0
2017-09-19 20:15:55,6,0.1531
2017-09-19 20:16:16,6,-0.4215
2017-09-19 20:17:05,7,-0.7841
2017-09-19 20:20:14,5,0.0
2017-09-19 20:22:38,5,0.2732
2017-09-19 20:22:41,6,0.7799
2017-09-19 20:23:19,7,-0.2263
2017-09-19 20:27:23,6,0.0
2017-09-19 20:34:18,7,0.4404
2017-09-19 20:35:24,7,-0.3313
2017-09-19 20:45:11,7,0.0
2017-09-19 20:48:20,5,0.1406
2017-09-19 20:48:47,6,0.296
2017-09-19 20:49:45,5,-0.4003
2017-09-19 20:52:30,6,-0.6249
2017-09-19 20:52:31,7,-0.5423
2017-09-19 20:52:41,5,0.3645
2017-09-19 20:54:44,5,-0.6705
2017-09-19 20:56:42,7,0.8316
2017-09-19 20:56:45,8,-0.5256
2017-09-19 20:59:05,8,0.0
2017-09-19 21:02:17,4,0.0
2017-09-19 21:05:14,5,0.0
2017-09-19 21:05:19,6,0.0
2017-09-19 21:08:01,5,0.6369
2017-09-19 21:08:02,7,-0.3612
2017-09-19 21:08:46,6,0.0
2017-09-19 21:08:52,6,-0.1511
2017-09-19 21:09:18,6,0.0
2017-09-19 21:09:50,5,-0.6968
2017-09-19 21:09:52,7,0.0
2017-09-19 21:10:16,7,0.6369
2017-09-19 21:10:26,7,-0.6124
2017-09-19 21:11:18,6,0.0
2017-09-19 21:11:25,7,0.3612
2017-09-19 21:11:42,7,0.34
2017-09-19 21:12:00,6,0.0
2017-09-19 21:12:02,6,0.2648
2017-09-19 21:12:10,6,0.1379
2017-09-19 21:12:28,6,0.6249
2017-09-19 21:13:33,6,-0.5859
2017-09-19 21:14:00,6,-0.7003
2017-09-19 21:14:04,6,-0.7175
2017-09-19 21:14:33,6,0.3013
2017-09-19 21:14:55,7,-0.3199
2017-09-19 21:14:56,5,0.6369
2017-09-19 21:15:02,4,0.5106
2017-09-19 21:15:28,6,0.0
2017-09-19 21:16:36,5,-0.6571
