,score,sentiment
2017-08-23 19:25:41,256,0.8402
2017-08-23 20:07:05,66,0.0
2017-08-23 20:07:27,56,-0.5093
2017-08-23 20:17:20,57,-0.1536
2017-08-23 20:07:30,50,0.25
2017-08-23 19:58:36,41,0.0
2017-08-23 20:13:42,71,0.4019
2017-08-23 19:02:29,61,0.875
2017-08-23 20:06:36,58,0.6369
2017-08-23 20:07:00,52,0.807
2017-08-23 20:25:25,26,0.4404
2017-08-23 21:30:53,25,-0.3612
2017-08-23 19:58:10,24,0.4201
2017-08-23 20:08:29,23,0.34
2017-08-23 20:31:51,24,0.8258
2017-08-23 18:58:58,20,0.0
2017-08-23 21:08:32,20,-0.0516
2017-08-23 20:06:41,19,0.0
2017-08-23 21:15:56,19,0.5743
2017-08-23 20:06:52,18,-0.1027
2017-08-23 20:22:06,18,-0.6597
2017-08-23 19:55:43,16,0.0
2017-08-23 20:08:40,16,-0.5859
2017-08-23 20:11:16,17,-0.0772
2017-08-23 20:30:37,16,0.0
2017-08-23 20:30:54,16,0.0
2017-08-23 21:05:32,17,-0.5423
2017-08-23 21:15:24,17,0.0352
2017-08-23 19:59:03,16,-0.1531
2017-08-23 20:15:01,16,-0.128
2017-08-23 20:24:24,15,0.6124
2017-08-23 21:05:12,15,-0.5106
2017-08-23 21:07:09,15,0.5859
2017-08-23 21:30:28,15,-0.3612
2017-08-23 20:22:06,14,0.0
2017-08-23 20:28:18,15,0.25
2017-08-23 20:45:32,14,0.6319
2017-08-23 21:07:48,14,0.3182
2017-08-23 18:59:39,28,0.4939
2017-08-23 21:08:13,13,0.0
2017-08-23 21:08:36,13,0.4404
2017-08-23 21:29:28,13,0.0
2017-08-23 20:17:30,40,-0.099
2017-08-23 20:09:15,13,0.0
2017-08-23 20:09:20,11,0.2023
2017-08-23 20:24:23,12,-0.8126
2017-08-23 20:45:37,12,0.0
2017-08-23 20:57:43,12,-0.2023
2017-08-23 18:58:58,26,0.0
2017-08-23 20:30:21,27,0.0
2017-08-23 21:16:21,22,-0.2018
2017-08-23 20:56:21,11,0.7269
2017-08-23 20:56:24,11,0.25
2017-08-23 20:57:24,11,-0.7351
2017-08-23 20:59:28,11,0.0
2017-08-23 21:34:07,11,0.0
2017-08-23 19:13:35,10,0.4389
2017-08-23 20:09:15,11,0.5023
2017-08-23 20:14:10,10,0.4019
2017-08-23 20:31:12,11,-0.2484
2017-08-23 20:32:21,11,0.0
2017-08-23 20:36:59,10,-0.876
2017-08-23 20:41:04,10,0.0
2017-08-23 20:52:44,10,-0.6641
2017-08-23 20:55:05,10,-0.1289
2017-08-23 21:04:58,10,0.8091
2017-08-23 21:09:24,10,0.0
2017-08-23 21:09:29,10,0.6908
2017-08-23 21:13:46,10,0.4939
2017-08-23 21:30:51,10,-0.5632
2017-08-23 20:30:47,18,0.7814
2017-08-23 20:13:48,18,0.0
2017-08-23 20:37:57,18,0.0
2017-08-23 19:28:37,9,0.0
2017-08-23 20:09:49,10,0.0
2017-08-23 20:10:14,9,0.0
2017-08-23 20:19:43,8,0.3182
2017-08-23 20:36:21,9,0.25
2017-08-23 20:38:16,9,-0.3597
2017-08-23 20:38:52,9,0.4404
2017-08-23 20:43:55,9,0.1779
2017-08-23 20:56:43,9,0.7096
2017-08-23 21:10:09,9,0.5945
2017-08-23 21:10:49,9,0.0
2017-08-23 21:11:19,9,0.4404
2017-08-23 21:20:22,9,0.0
2017-08-23 21:26:29,8,0.5859
2017-08-23 21:30:01,9,0.0
2017-08-23 21:34:53,9,0.7579
2017-08-23 19:19:25,15,0.4408
2017-08-23 19:56:34,8,0.8402
2017-08-23 19:58:36,9,0.4404
2017-08-23 20:00:19,8,0.8918
2017-08-23 20:05:33,9,-0.3818
2017-08-23 20:08:46,9,0.34
2017-08-23 20:08:55,8,-0.2023
2017-08-23 20:09:00,8,0.128
2017-08-23 20:09:52,8,0.6239
2017-08-23 20:14:05,8,-0.8016
2017-08-23 20:14:42,8,0.6884
2017-08-23 20:15:36,9,0.4019
2017-08-23 20:17:02,7,0.1774
2017-08-23 20:22:39,8,-0.5423
2017-08-23 20:24:54,7,0.8295
2017-08-23 20:30:03,7,0.6369
2017-08-23 20:30:05,8,0.5574
2017-08-23 20:30:06,8,0.0
2017-08-23 20:34:19,8,-0.6808
2017-08-23 20:36:07,8,0.8172
2017-08-23 20:37:54,8,0.0
2017-08-23 20:38:11,8,0.128
2017-08-23 20:42:13,8,0.4019
2017-08-23 21:05:10,8,0.0
2017-08-23 21:05:11,9,-0.25
2017-08-23 21:05:41,8,0.0
2017-08-23 21:06:13,8,0.0
2017-08-23 21:07:02,8,0.4588
2017-08-23 21:07:36,8,0.0
2017-08-23 21:10:44,8,0.5848
2017-08-23 21:13:23,8,-0.7044
2017-08-23 21:16:31,8,0.0
2017-08-23 21:18:16,7,0.8591
2017-08-23 21:27:05,8,0.0
2017-08-23 21:08:57,14,0.2716
2017-08-23 19:11:59,6,0.3612
2017-08-23 19:55:45,6,0.5379
2017-08-23 19:56:47,6,-0.1759
2017-08-23 20:03:36,6,0.5046
2017-08-23 20:03:40,7,0.2732
2017-08-23 20:05:33,7,0.0
2017-08-23 20:05:34,8,0.0
2017-08-23 20:06:36,7,0.0
2017-08-23 20:06:40,8,-0.6876
2017-08-23 20:09:11,7,0.2023
2017-08-23 20:10:41,7,0.6124
